Year,Qtr,cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,LNPLEDGE,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
2012,930,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,41182,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",126707,1389,128096,465,128561,102954,102954,877,51238,5937,45301,21341,29498,0,,0,3952,,21655,0,911,0,20744,0,0,0,0,0,0,0,24294,,0,0,0,877,1389,
2012,930,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,41182,44150,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,4,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,2250010,24974,2274984,0,2274984,995598,995598,58766,345125,142428,202697,214879,370301,6527,,3153,84692,466,115956,0,55,0,115901,1075585,263,0,1075317,0,5,104,109781,0,1528,1013,31631,27135,25053,
2012,1231,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,41274,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",140890,1490,142380,496,142876,115178,115178,864,56953,6214,50739,22570,34791,0,,0,5127,,22571,0,910,0,21661,0,0,0,0,0,0,0,32167,,0,0,0,864,1490,
2012,1231,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,41274,44150,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,4,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,2738519,25837,2764356,0,2764356,1314079,1314079,70396,428408,156948,271460,365371,443337,6567,,3168,82767,391,113144,0,57,0,113087,1251198,219,0,1250975,0,4,80,513754,0,2213,1084,39753,30643,25916,
2013,331,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,41364,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",143479,1543,145022,482,145504,119595,119595,864,61450,6591,54859,24676,32605,0,,0,5344,,20564,0,888,0,19676,0,0,0,0,0,0,0,24828,,0,0,0,864,1543,
2013,331,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,41364,44150,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,4,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,2952233,26439,2978672,0,2978672,1502128,1502128,77159,499394,162849,336545,478113,440968,6494,,3130,186684,386,110090,0,58,0,110032,1176640,219,0,1176417,0,4,4414,553848,0,3262,1128,36301,40858,26599,
2013,630,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,41455,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",124733,1399,126132,427,126559,99982,99982,864,55126,7477,47649,16736,27256,0,,0,7154,,19422,0,631,0,18791,0,0,0,0,0,0,0,26041,,0,0,0,864,1399,
2013,630,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,41455,44150,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,4,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,3232073,28142,3260215,0,3260215,1801277,1801277,69632,532853,166160,366693,666865,525254,6673,,2958,191276,1525,106871,0,49,0,106822,1157833,175,0,1157655,0,3,4356,519355,0,3319,1044,27179,42453,28297,
2013,930,58410,0,3783313,,CROSS RIVER BANK,Teaneck,NJ,7666,41547,44150,NM,885 Teaneck Rd.,,1,0,0,4,0,Bergen,35620,"New York-Newark-Jersey City, NY-NJ-PA",39622,39622,40469,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,New York,Northeastern,Northeast,0,1,"http://www.crossriverbank.com, https://www.brixdirect.com",144539,1653,146192,520,146712,112732,112732,864,68624,8447,60177,16513,26731,0,,0,6468,,27512,1,1929,0,25582,0,0,0,0,0,0,0,26041,,0,0,0,864,1653,
2013,930,34444,0,2354985,4284536,CUSTOMERS BANK,Phoenixville,PA,19460,41547,44150,SM,99 Bridge St,CUSTOMERS BCORP INC,15,0,1,4,0,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",35607,35607,40803,Stock,0,0,FED,DIF,New York,NEW YORK,Philadelphia,Philadelphia,Northeastern,Northeast,0,1,http://www.customersbank.com,2990926,26800,3017726,0,3017726,1787390,1787390,71990,562371,180252,382119,864988,281593,6448,,2931,210448,0,103574,0,52,0,103522,913383,175,1875,911330,0,3,4279,1508536,0,3366,988,25029,46961,26983,
